MPN,Ref,EPID,Title,Brand,Model,Movement,Beats per Hour,Jewels,Style,Case Material,Water Resistance,Watch Shape,Case Thickness,Case Width,Band Width
14012MSS,,,,,,,,,,,,,,,
2205-0760,,,"Seiko Diver Seiko 2205-0760 ""ZP247"" Vintage, Diver Automatic Women's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,33mm(without crown),16mm
320T08AN,,,,,,,,,,,,,,,
320W10GN,,,,,,,,,,,,,,,
,4205-0140,,"Seiko Diver Seiko 4205-0140 ""SUG089"" Vintage, Diver Automatic Women's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,33mm(without crown),17mm
,4205-0152,,"Seiko Diver Seiko 4205-0152 ""SUG095"" Vintage, Diver Automatic Women's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,37mm(without crown),20mm
,4205-0156,,"Seiko Diver Seiko 4205-0156 ""SUG099"" Vintage, Diver Automatic Women's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,37mm(without crown),20mm
,5126-6010,,"Seiko 5 5126-6010 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,13mm,41mm(without crown),19mm
,5126-6030,,"Seiko 5 5126-6030 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,13mm,41mm(without crown),19mm
,5126-7020,,"Seiko 5 5126-7020 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,13mm,39mm(without crown),18mm
,5126-7030,,"Seiko 5 5126-7030 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,13mm,40mm(without crown),18mm
,5126-8040,,"Seiko 5 5126-8040 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,13mm,37mm(without crown),18mm
,5126-8050,,"Seiko 5 5126-8050 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,13mm,37mm(without crown),18mm
,5126-8060,,"Seiko 5 5126-8060 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,13mm,37mm(without crown),18mm
,5126-8100,,"Seiko 5 5126-8100 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,13mm,38mm(without crown),18mm
,5126-8120,,"Seiko 5 5126-8120 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,13mm,41mm(without crown),18mm
,5126-8130,,"Seiko 5 5126-8130 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,13mm,41mm(without crown),18mm
,5139-7020,,"Seiko 5 5139-7020 ""DX"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,11mm,37mm(without crown),18mm
,5139-7040,,"Seiko 5 5139-7040 ""DX"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,11mm,36mm(without crown),18mm
,6105-8000,,"Seiko Diver Seiko 6105-8000 ""X237"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,41mm(without crown),19mm
,6105-8110,,"Seiko Diver Seiko 6105-8110 ""55027"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,45mm(without crown),19mm
,6105-8119,,"Seiko Diver Seiko 6105-8119 ""55029"" Vintage, Diver Automatic Men's",Seiko,Seiko Diver,Automatic,,,"Vintage, Diver",Stainless Steel,150 Meters(baths & shallow diving),Round,13mm,45mm(without crown),19mm
,6106-5440,,"Seiko 5 6106-5440 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Square,NA,34mm(without crown),19mm
,6106-5480,,"Seiko 5 6106-5480 ""DX"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Square,NA,36mm(without crown),NA
,6106-5530,,"Seiko 5 6106-5530 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Square,NA,36mm(without crown),NA
,6106-6000,,"Seiko 5 6106-6000 ""DX"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,35mm(without crown),NA
,6106-6040,,"Seiko 5 6106-6040 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Round,NA,41mm(without crown),NA
,6106-7000,,"Seiko 5 6106-7000 ""DX"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,36mm(without crown),NA
,6106-7003,,"Seiko 5 6106-7003 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,35mm(without crown),NA
,6106-7010,,"Seiko 5 6106-7010 ""DX"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,35mm(without crown),NA
,6106-7020,,"Seiko 5 6106-7020 ""DX"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,35mm(without crown),NA
,6106-7030,,"Seiko 5 6106-7030 ""DX"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,35mm(without crown),NA
,6106-7440,,"Seiko 5 6106-7440 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,39mm(without crown),NA
,6106-7480,,"Seiko 5 6106-7480 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,38mm(without crown),NA
,6106-7510,,"Seiko 5 6106-7510 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,37mm(without crown),NA
,6106-7520,,"Seiko 5 6106-7520 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,36mm(without crown),NA
,6106-7600,,"Seiko 5 6106-7600 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,13mm,38mm(without crown),NA
,6106-7690,,"Seiko 5 6106-7690 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,36mm(without crown),NA
,6106-7740,,"Seiko 5 6106-7740 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,37mm(without crown),NA
,6106-8141,,"Seiko 5 6106-8141 ""DX"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,37mm(without crown),NA
,6106-8180,,"Seiko 5 6106-8180 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,NA,38mm(without crown),NA
,6106-8400,,"Seiko 5 6106-8400 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,38mm(without crown),NA
,6106-8420,,"Seiko 5 6106-8420 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,36mm(without crown),18mm
,6106-8510,,"Seiko 5 6106-8510 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,NA,42mm(without crown),NA
,6106-8560,,"Seiko 5 6106-8560 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,NA,40mm(without crown),NA
,6106-8570,,"Seiko 5 6106-8570 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,36mm(without crown),NA
,6106-8660,,"Seiko 5 6106-8660 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,37mm(without crown),NA
,6106-8670,,"Seiko 5 6106-8670 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,36mm(without crown),NA
