置換前,置換後
ａ,A
ｂ,B
ｃ,C
ｄ,D
ｅ,E
ｆ,F
ｇ,G
ｈ,H
ｉ,I
ｊ,J
ｋ,K
ｌ,L
ｍ,M
ｎ,N
ｏ,O
ｐ,P
ｑ,Q
ｒ,R
ｓ,S
ｔ,T
ｕ,U
ｖ,V
ｗ,W
ｘ,X
ｙ,Y
ｚ,Z
a,A
b,B
c,C
d,D
e,E
f,F
g,G
h,H
i,I
j,J
k,K
l,L
m,M
n,N
o,O
p,P
q,Q
r,R
s,S
t,T
u,U
v,V
w,W
x,X
y,Y
z,Z
a,A
b,B
c,C
d,D
e,E
f,F
g,G
h,H
i,I
j,J
k,K
l,L
m,M
n,N
o,O
p,P
q,Q
r,R
s,S
t,T
u,U
v,V
w,W
x,X
y,Y
z,Z
a,A
b,B
c,C
d,D
e,E
f,F
g,G
h,H
i,I
j,J
k,K
l,L
m,M
n,N
o,O
p,P
q,Q
r,R
s,S
t,T
u,U
v,V
w,W
x,X
y,Y
z,Z
０,0
１,1
２,2
３,3
４,4
５,5
６,6
７,7
８,8
９,9
＠,
№,
＃,
／,
＼,
〓,
†,
‡,
♪,
♭,
♯,
¶,
§,
｜,
∥,
￤,
━,
￣,
＿,
‐,
─,
※,
＊,
□,
■,
◇,
◆, 
☆, 
★, 
○, 
●, 
◎, 
△, 
▲, 
▽, 
▼, 
↑, 
↓, 
←, 
→, 
？, 
！, 
＆, 
卍, 
♂, 
♀, 
〒, 
℡, 
～, 
〆, 
〃, 
仝, 
<, 
「, 
『, 
【, 
〔, 
［, 
[, 
｛, 
{, 
〈, 
（, 
《, 
〝, 
・, 
;, 
；, 
:, 
：, 
…, 
‥, 
¨, 
｀, 
´, 
，, 
、, 
。, 
‘, 
“, 
＋, 
－, 
±, 
×, 
÷, 
√, 
＝, 
≠, 
≒, 
＜, 
≦, 
≧, 
≪, 
≡, 
∞, 
∽, 
∝, 
∫, 
∬, 
∮, 
∴, 
∵, 
∩, 
∪, 
∧, 
∨, 
∀, 
⊃, 
⊂, 
⊇, 
⊆, 
∋, 
∈, 
∃, 
⇒, 
⇔, 
∟, 
∠, 
⊥, 
￢, 
⊿, 
∑, 
∇, 
⌒, 
∂, 
°, 
′, 
″, 
℃, 
￥, 
＄, 
￠, 
￡, 
％, 
‰, 
Å, 
㎜, 
㎝, 
㎞, 
㎎, 
㎏, 
㏄, 
㎡, 
㊤, 
㊦, 
㊧, 
㊨, 
㊥, 
㈹, 
㈲, 
㈱, 
㏍, 
㍻, 
㍼, 
㍽, 
㍾, 
˜, 
^, 
＇, 
＂, 
а, 
б, 
г, 
д, 
δ, 
θ, 
ψ, 
ξ, 
τ, 
>, 
」, 
』, 
】, 
〕, 
］, 
], 
｝, 
〉, 
）, 
＞, 
≫, 
》, 
〟, 
”, 
’, 
+, 
✨, 
✳︎, 
@, 
⭐️, 
❇️, 
✴️, 
♡, 
❣️, 
❤️, 
♦, 
❗️, 
/, 
‼️, 
˗, 
ᅳ, 
᭸, 
‑, 
‒, 
–, 
—, 
⁃, 
⁻, 
−, 
▬, 
➖, 
ㅡ, 
𐄐, 
𐆑, 
 , 
゛, 
ﾟ, 
アルバ,ALBA 
ワイアード,WIRED 
ファイブスポーツ スピードタイマー,FIVE SPORTS SPEED TIMER 
62セイコーマチック クロノメータ ウィークデータ,62 SEIKOMATIC CHRONOMETER WEEK DATA 
ファイブスポーツスピードタイマー,FIVE SPORTS SPEED TIMER 
62セイコーマチッククロノメータウィークデータ,62 SEIKOMATIC CHRONOMETER WEEK DATA 
62セイコーマチック クロノメータ カレンダ,62 SEIKOMATIC CHRONOMETER CALENDAR 
52キングセイコー クロノメータ スペシャル,52 KING SEIKO CHRONOMETER SPECIAL 
62セイコーマチッククロノメータカレンダ,62 SEIKOMATIC CHRONOMETER CALENDAR 
52キングセイコークロノメータスペシャル,52 KING SEIKO CHRONOMETER SPECIAL 
スポーツマン セブンティーン カレンダ,SPORTSMAN SEVEN CALENDAR 
ランドレックパーペチュアルカレンダー,LANDREK PERPETUAL CALENDAR 
セイコーマティック　ウィークデーター,SEIKOMATIC WEEKDATA 
スポーツマンセブンティーンカレンダ,SPORTSMAN SEVEN CALENDAR 
ダイバーズ プロフェッショナル200M,DIVERS PROFESSIONAL 200 M 
セイコーマチック シルバーウェーブ,SEIKOMATIC SILVER WAVE 
62グランドセイコー ウィークデータ,62 GRAND SEIKO WEEK DATA 
51セイコーマチック ウィークデータ,51 SEIKOMATIC WEEK DATA 
ダイバーズプロフェッショナル200M,DIVERS PROFESSIONAL 200 M 
セイコーマチックシルバーウェーブ,SEIKOMATIC SILVER WAVE 
62グランドセイコーウィークデータ,62 GRAND SEIKO WEEK DATA 
51セイコーマチックウィークデータ,51 SEIKOMATIC WEEK DATA 
セイコーマチック ウィークデータ,SEIKOMATIC WEEK DATA 
グランドセイコー セカンドモデル,GRAND SEIKO SECOND MODEL 
FIVESPORTSSPEEDTIMER,FIVE SPORTS SPEED TIMER 
76スポーツマチック 5 デラックス,"76 SPORTSMATIC ""5"" DELUXE "
62SEIKOMATICCHRONOMETERWEEKDATA,62 SEIKOMATIC CHRONOMETER WEEK DATA 
62SEIKOMATICCHRONOMETERCALENDAR,62 SEIKOMATIC CHRONOMETER CALENDAR 
オートマティック インジケーター,​AUTOMATIC INDICATOR 
セイコーマチックウィークデータ,SEIKOMATIC WEEK DATA 
グランドセイコーセカンドモデル,GRAND SEIKO SECOND MODEL 
セイコー セレクション,SEIKO SELECTION 
セイコーマチックスリム デート,SEIKOMATIC SLIM DATING 
セイコーマチック ブルーヨット,"SEIKOMATIC ""BLUE YACHT"" "
セイコーマチック セルフデータ,SEIKOMATIC SELF DATA 
スポーツマチック カレンダ 820,SPORTSMATIC CALENDAR 820 
スポーツマチック 5 デラックス,"SPORTSMATIC ""5"" DELUXE "
スクールタイム ウィークデータ,SCHOOL TIME WEEK DATA 
グランドセイコー セルフデータ,GRAND SEIKO SELF DATA 
76スポーツマチック5デラックス,"76 SPORTSMATIC ""5"" DELUXE "
76スポーツマチック デラックス,76 SPORTSMATIC DELUXE 
61グランドセイコー スペシャル,61 GRAND SEIKO SPECIAL 
56キングセイコー クロノメータ,56 KING SEIKO CHRONOMETER 
52KINGSEIKOCHRONOMETERSPECIAL,52 KING SEIKO CHRONOMETER SPECIAL 
45キングセイコー クロノメータ,45 KING SEIKO CHRONOMETER 
セイコー クォーツ スポーツ150,QUARTZ SPORTS 150 
セイコーマチックブルーヨット,"SEIKOMATIC ""BLUE YACHT"" "
セイコーマチックセルフデータ,SEIKOMATIC SELF DATA 
セイコーマチックスリムデート,SEIKOMATIC SLIM DATING 
スクールタイムウィークデータ,SCHOOL TIME WEEK DATA 
グランドセイコーセルフデータ,GRAND SEIKO SELF DATA 
76スポーツマチックデラックス,76 SPORTSMATIC DELUXE 
61グランドセイコースペシャル,61 GRAND SEIKO SPECIAL 
56キングセイコークロノメータ,56 KING SEIKO CHRONOMETER 
45キングセイコークロノメータ,45 KING SEIKO CHRONOMETER 
TYPE-Ⅱ ビジネススタンダード,TYPE-II BUSINESS STANDARD 
プロフェッショナル ダイバー,PROFESSIONAL DIVER 
スポーツマン セブンティーン,SPORTSMAN SEVEN 
スポーツマチックカレンダ820,SPORTSMATIC CALENDAR 820 
スポーツマチック5デラックス,"SPORTSMATIC ""5"" DELUXE "
キングセイコー クロノメータ,KING SEIKO CHRONOMETER 
66スポーツマチック ファイブ,"66 SPORTSMATIC ""FIVE"" "
62グランドセイコー カレンダ,62 GRAND SEIKO CALENDAR 
61ニューファイブ デラックス,61 NEW FIVE DELUXE 
61グランドセイコー V. F. A.,61 GRAND SEIKO V.F.A. 
57グランドセイコー カレンダ,57 GRAND SEIKO CALENDAR 
52ロードマチック スペシャル,52 LORDMATIC SPECIAL 
52キングセイコー スペシャル,52 KING SEIKO SPECIAL 
51ニューファイブ デラックス,51 NEW FIVE DELUXE 
プレザージュ カクテルタイム,PRESAGE COCKTAIL TIME 
プロスペツクス アルピニスト,PROSPEX ALPINIST 
プロフェッショナルダイバー,PROFESSIONAL DIVER 
スポーツマンセブンティーン,SPORTSMAN SEVEN 
グランドセイコーファースト,GRAND SEIKO FIRST 
キングセイコークロノメータ,KING SEIKO CHRONOMETER 
66スポーツマチックファイブ,"66 SPORTSMATIC ""FIVE"" "
62グランドセイコーカレンダ,62 GRAND SEIKO CALENDAR 
61ニューファイブデラックス,61 NEW FIVE DELUXE 
57グランドセイコーカレンダ,57 GRAND SEIKO CALENDAR 
52ロードマチックスペシャル,52 LORDMATIC SPECIAL 
52キングセイコースペシャル,52 KING SEIKO SPECIAL 
51ニューファイブデラックス,51 NEW FIVE DELUXE 
ペーパーチュアルカレンダー,PERPETUAL CALENDAR 
スポーツマチック ファイブ,"SPORTSMATIC ""FIVE"" "
スポーツマチック カレンダ,SPORTSMATIC CALENDAR 
63ファイブ ルナカレンダー,63 FIVE LUNA CALENDAR 
5スポーツスピードタイマー,5 SPORTS SPEED TIMER 
プロスペックスダイバーズ,PROSPEX DIVERS 
スポーツマチックファイブ,"SPORTSMATIC ""FIVE"" "
スポーツマチックカレンダ,SPORTSMATIC CALENDAR 
63ファイブルナカレンダー,63 FIVE LUNA CALENDAR 
61グランドセイコーV.F.A.,61 GRAND SEIKO V.F.A. 
パーペチュアルカレンダー,PERPETUAL CALENDAR 
ライナー クロノメーター,LINER CHRONOMETER 
スカイライナー カレンダ,SKYLINER CALENDAR 
スーパー ウイークデータ,SUPER WEEK DATA 
キングセイコー カレンダ,KING SEIKO CALENDAR 
76 SPORTSMATIC 5 DELUXE,"76 SPORTSMATIC ""5"" DELUXE "
ライナークロノメーター,LINER CHRONOMETER 
チャンピオンカレンダー,CHAMPION CALENDAR 
セイコーマチックスリム,SEIKOMATIC SLIM 
スカイライナーカレンダ,SKYLINER CALENDAR 
スーパーウイークデータ,SUPER WEEK DATA 
クロノスセルフデーター,CRONOS SELF DATA 
キングセイコーカレンダ,KING SEIKO CALENDAR 
SPORTSMATICCALENDAR820,SPORTSMATIC CALENDAR 820 
SPORTSMANSEVENCALENDAR,SPORTSMAN SEVEN CALENDAR 
OBSERVATORYCHRONOMETER,OBSERVATORY CHRONOMETER 
56KINGSEIKOCHRONOMETER,56 KING SEIKO CHRONOMETER 
45KINGSEIKOCHRONOMETER,45 KING SEIKO CHRONOMETER 
パーペチュアル,PERPETUAL 
《精工舎》プレシジョン,SEIKOSHA PRECISION 
ナビゲーター　タイマー,NAVIGATOR TIMER 
チャンピオン カレンダ,CHAMPION CALENDAR 
ダイバーウォッチ 300M,DIVER WATCH 300M 
ダイバーウォッチ 150M,DIVER WATCH 150M 
スーパー セルフデータ,SUPER SELF DATA 
スーパー オートデータ,SUPER AUTO DATA 
クロノス セルフデータ,CHRONOS SELF DATA 
クラウン セルフデータ,CROWN SELF DATA 
