Action,Category ID,Title,Condition ID,Item photo URL,Description,Format,Duration,Start price,Quantity,Location,Shipping profile name,Return profile name,Payment profile name,Custom label (SKU),C:Brand,C:Department,C:Type,C:Model,C:Reference Number,P:EPID,P:UPC,P:EAN,C:Style,C:Movement,C:Case Size,C:Case Material,C:Water Resistance,C:Watch Shape,C:Band Width,C:Case Thickness
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,Seiko  Beautiful Wired Men&#39;S **Del** Formal (23),3000,http://export.daa.jp/20240618/m94469144939_1.jpg|http://export.daa.jp/20240618/m94469144939_2.jpg|http://export.daa.jp/20240618/m94469144939_3.jpg|http://export.daa.jp/20240618/m94469144939_4.jpg|http://export.daa.jp/20240618/m94469144939_5.jpg|http://export.daa.jp/20240618/m94469144939_6.jpg|http://export.daa.jp/20240618/m94469144939_7.jpg|http://export.daa.jp/20240618/m94469144939_8.jpg|http://export.daa.jp/20240618/m94469144939_9.jpg|http://export.daa.jp/20240618/m94469144939_10.jpg,"This item is slightly used, as good as new.<br> This item is working properly.<br> ",FixedPrice,GTC,84.24734928294706,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@94469144939{a}5000{b}80{c}used-watch-FE,Seiko,Men,Wristwatch,,,,,,,,,,,,,
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,Seiko  Wired Watches (40),3000,http://export.daa.jp/20240618/m20901202411_1.jpg|http://export.daa.jp/20240618/m20901202411_2.jpg|http://export.daa.jp/20240618/m20901202411_3.jpg|http://export.daa.jp/20240618/m20901202411_4.jpg|http://export.daa.jp/20240618/m20901202411_5.jpg,The item is a used item with a slight feeling of use.<br>  ,FixedPrice,GTC,84.24734928294706,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@20901202411{a}5000{b}80{c}used-watch-FE,Seiko,Men,Wristwatch,,,,,,,,,,,,,
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,Seiko  Beautiful Item. The Battery Has Been Replaced. Wired Men&#39;S (74),3000,http://export.daa.jp/20240618/m88388980465_1.jpg|http://export.daa.jp/20240618/m88388980465_2.jpg|http://export.daa.jp/20240618/m88388980465_3.jpg|http://export.daa.jp/20240618/m88388980465_4.jpg|http://export.daa.jp/20240618/m88388980465_5.jpg|http://export.daa.jp/20240618/m88388980465_6.jpg|http://export.daa.jp/20240618/m88388980465_7.jpg|http://export.daa.jp/20240618/m88388980465_8.jpg|http://export.daa.jp/20240618/m88388980465_9.jpg|http://export.daa.jp/20240618/m88388980465_10.jpg,The item is secondhand but is in very good condition.<br> This item is working properly.<br>The battery has been replaced.<br> ,FixedPrice,GTC,136.07226602324477,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@88388980465{a}9880{b}129{c}used-watch-FE,Seiko,Men,Wristwatch,,,,,,,,,,,,,
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,Seiko  Honeyee.Com Wired Special Order Model (30),3000,http://export.daa.jp/20240618/m71448995755_1.jpg|http://export.daa.jp/20240618/m71448995755_2.jpg|http://export.daa.jp/20240618/m71448995755_3.jpg|http://export.daa.jp/20240618/m71448995755_4.jpg|http://export.daa.jp/20240618/m71448995755_5.jpg,The item is a used item with a slight feeling of use.<br>  ,FixedPrice,GTC,595.2834770000306,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@71448995755{a}57500{b}565{c}used-watch-FE,Seiko,Men,Wristwatch,,,,,,,,,,,,,
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,Seiko  Wired Featuring Beams Men&#39;S Watches Set Of 2 (92),3000,http://export.daa.jp/20240618/m24235480456_1.jpg|http://export.daa.jp/20240618/m24235480456_2.jpg|http://export.daa.jp/20240618/m24235480456_3.jpg|http://export.daa.jp/20240618/m24235480456_4.jpg|http://export.daa.jp/20240618/m24235480456_5.jpg|http://export.daa.jp/20240618/m24235480456_6.jpg|http://export.daa.jp/20240618/m24235480456_7.jpg|http://export.daa.jp/20240618/m24235480456_8.jpg|http://export.daa.jp/20240618/m24235480456_9.jpg|http://export.daa.jp/20240618/m24235480456_10.jpg,The item is secondhand but is in very good condition.<br> This item is working properly.<br> ,FixedPrice,GTC,263.9698143674219,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@24235480456{a}22700{b}250{c}used-watch-FE,Seiko,Men,Wristwatch,,,,,,,,,,,,,
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,Seiko  X1 Wired Chronograph This Item Is Working Properly. With Date (9),3000,http://export.daa.jp/20240618/m39507503610_1.jpg|http://export.daa.jp/20240618/m39507503610_2.jpg|http://export.daa.jp/20240618/m39507503610_3.jpg|http://export.daa.jp/20240618/m39507503610_4.jpg,The item is a used item with a slight feeling of use.<br> This item is working properly.<br> ,FixedPrice,GTC,90.61926527560661,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@39507503610{a}5600{b}86{c}used-watch-FE,Seiko,Men,Wristwatch,,,,,,,,,,,,,
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,"Seiko  Agav118 Brand New, Extremely Rare Item, Wired 15Th Anniversary (91)",3000,http://export.daa.jp/20240618/m38435456816_1.jpg|http://export.daa.jp/20240618/m38435456816_2.jpg|http://export.daa.jp/20240618/m38435456816_3.jpg|http://export.daa.jp/20240618/m38435456816_4.jpg|http://export.daa.jp/20240618/m38435456816_5.jpg|http://export.daa.jp/20240618/m38435456816_6.jpg|http://export.daa.jp/20240618/m38435456816_7.jpg|http://export.daa.jp/20240618/m38435456816_8.jpg,NEW<br>  ,FixedPrice,GTC,231.01606701144524,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@38435456816{a}19500{b}219{c}used-watch-FE,Seiko,Men,Wristwatch,,AGAV118,,,,,,,,,,,
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,Seiko  Agav118 Anonymous Delivery Wired Watch 7T92-0G80 (88),3000,http://export.daa.jp/20240618/m26757001410_1.jpg|http://export.daa.jp/20240618/m26757001410_2.jpg|http://export.daa.jp/20240618/m26757001410_3.jpg|http://export.daa.jp/20240618/m26757001410_4.jpg|http://export.daa.jp/20240618/m26757001410_5.jpg|http://export.daa.jp/20240618/m26757001410_6.jpg|http://export.daa.jp/20240618/m26757001410_7.jpg|http://export.daa.jp/20240618/m26757001410_8.jpg,The item is a used item with a slight feeling of use.<br> This item is working properly.<br>The battery has been replaced.<br> Wrist size:<br>Daily rate:<br>Diameter:<br>Length:<br>Lug width:<br>,FixedPrice,GTC,77.8754332902875,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@26757001410{a}4400{b}73{c}used-watch-FE,Seiko,Men,Wristwatch,,AGAV118,,,,,,,,,,,
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,Seiko  Agav118 Wired Solar Watch (69),3000,http://export.daa.jp/20240618/m95730082255_1.jpg|http://export.daa.jp/20240618/m95730082255_2.jpg|http://export.daa.jp/20240618/m95730082255_3.jpg|http://export.daa.jp/20240618/m95730082255_4.jpg|http://export.daa.jp/20240618/m95730082255_5.jpg,The item is secondhand but is in very good condition.<br> This item is working properly.<br> Wrist size:<br>Daily rate:<br>Diameter:<br>Length:<br>Lug width:<br>,FixedPrice,GTC,116.10692924624482,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@95730082255{a}8000{b}110{c}used-watch-FE,Seiko,Men,Wristwatch,,AGAV118,,,,,,,,,,,
SiteID=US|Country=JP|Currency=USD|Version=1193,31387,Seiko  Agab401 Wired Ww ツーダブ (40),3000,http://export.daa.jp/20240618/m86917303514_1.jpg|http://export.daa.jp/20240618/m86917303514_2.jpg|http://export.daa.jp/20240618/m86917303514_3.jpg|http://export.daa.jp/20240618/m86917303514_4.jpg|http://export.daa.jp/20240618/m86917303514_5.jpg|http://export.daa.jp/20240618/m86917303514_6.jpg,The item is secondhand but is in very good condition.<br> This item is working properly.<br> Wrist size:<br>Daily rate:<br>Diameter:<br>Length:<br>Lug width:<br>,FixedPrice,GTC,126.72678923401075,1,Japan,used-watch-FE,returns1,eBay Payments:Immediate pay,#m@86917303514{a}9000{b}120{c}used-watch-FE,Seiko,Men,Wristwatch,,AGAB401,,,,,,,,,,,
